year,city,country,avg_temp_x,avg_temp_y
1750,London,United Kingdom,10.25,8.72
1751,London,United Kingdom,9.99,7.98
1752,London,United Kingdom,6.54,5.78
1753,London,United Kingdom,9.42,8.39
1754,London,United Kingdom,9.2,8.47
1755,London,United Kingdom,8.95,8.36
1756,London,United Kingdom,9.42,8.85
1757,London,United Kingdom,9.34,9.02
1758,London,United Kingdom,8.85,6.74
1759,London,United Kingdom,9.8,7.99
1760,London,United Kingdom,9.26,7.19
1761,London,United Kingdom,9.69,8.77
1762,London,United Kingdom,8.99,8.61
1763,London,United Kingdom,8.75,7.5
1764,London,United Kingdom,9.14,8.4
1765,London,United Kingdom,8.95,8.25
1766,London,United Kingdom,9.07,8.41
1767,London,United Kingdom,8.98,8.22
1768,London,United Kingdom,9.12,6.78
1769,London,United Kingdom,9.04,7.69
1770,London,United Kingdom,9.03,7.69
1771,London,United Kingdom,8.78,7.85
1772,London,United Kingdom,9.36,8.19
1773,London,United Kingdom,9.33,8.22
1774,London,United Kingdom,9.1,8.77
1775,London,United Kingdom,10.1,9.18
1776,London,United Kingdom,9.21,8.3
1777,London,United Kingdom,9.25,8.26
1778,London,United Kingdom,9.8,8.54
1779,London,United Kingdom,10.76,8.98
1780,London,United Kingdom,9.67,9.43
1781,London,United Kingdom,10.41,8.1
1782,London,United Kingdom,8.44,7.9
1783,London,United Kingdom,9.97,7.68
1784,London,United Kingdom,8.29,7.86
1785,London,United Kingdom,8.54,7.36
1786,London,United Kingdom,8.35,8.26
1787,London,United Kingdom,9.53,8.03
1788,London,United Kingdom,9.39,8.45
1789,London,United Kingdom,9.12,8.33
1790,London,United Kingdom,9.67,7.98
1791,London,United Kingdom,9.59,8.23
1792,London,United Kingdom,9.56,8.09
1793,London,United Kingdom,9.59,8.23
1794,London,United Kingdom,10.0,8.53
1795,London,United Kingdom,9.19,8.35
1796,London,United Kingdom,9.5,8.27
1797,London,United Kingdom,9.62,8.51
1798,London,United Kingdom,9.83,8.67
1799,London,United Kingdom,7.94,8.51
1800,London,United Kingdom,9.32,8.48
1801,London,United Kingdom,9.68,8.59
1802,London,United Kingdom,9.31,8.58
1803,London,United Kingdom,8.79,8.5
1804,London,United Kingdom,9.37,8.84
1805,London,United Kingdom,8.56,8.56
1806,London,United Kingdom,9.87,8.43
1807,London,United Kingdom,9.03,8.28
1808,London,United Kingdom,8.91,7.63
1809,London,United Kingdom,8.99,7.08
1810,London,United Kingdom,8.97,6.92
1811,London,United Kingdom,10.1,6.86
1812,London,United Kingdom,8.58,7.05
1813,London,United Kingdom,9.13,7.74
1814,London,United Kingdom,7.93,7.59
1815,London,United Kingdom,8.99,7.24
1816,London,United Kingdom,7.98,6.94
1817,London,United Kingdom,8.95,6.98
1818,London,United Kingdom,9.88,7.83
1819,London,United Kingdom,9.58,7.37
1820,London,United Kingdom,8.61,7.62
1821,London,United Kingdom,9.63,8.09
1822,London,United Kingdom,10.36,8.19
1823,London,United Kingdom,8.8,7.72
1824,London,United Kingdom,9.65,8.55
1825,London,United Kingdom,9.98,8.39
1826,London,United Kingdom,10.12,8.36
1827,London,United Kingdom,9.37,8.81
1828,London,United Kingdom,10.1,8.17
1829,London,United Kingdom,7.95,7.94
1830,London,United Kingdom,8.78,8.52
1831,London,United Kingdom,10.01,7.64
1832,London,United Kingdom,9.24,7.45
1833,London,United Kingdom,9.4,8.01
1834,London,United Kingdom,10.59,8.15
1835,London,United Kingdom,9.48,7.39
1836,London,United Kingdom,9.04,7.7
1837,London,United Kingdom,8.85,7.38
1838,London,United Kingdom,8.05,7.51
1839,London,United Kingdom,8.89,7.63
1840,London,United Kingdom,8.68,7.8
1841,London,United Kingdom,9.12,7.69
1842,London,United Kingdom,9.43,8.02
1843,London,United Kingdom,9.4,8.17
1844,London,United Kingdom,8.85,7.65
1845,London,United Kingdom,8.46,7.85
1846,London,United Kingdom,10.48,8.55
1847,London,United Kingdom,9.24,8.09
1848,London,United Kingdom,9.52,7.98
1849,London,United Kingdom,9.42,7.98
1850,London,United Kingdom,9.06,7.9
1851,London,United Kingdom,9.17,8.18
1852,London,United Kingdom,9.96,8.1
1853,London,United Kingdom,8.44,8.04
1854,London,United Kingdom,9.3,8.21
1855,London,United Kingdom,8.03,8.11
1856,London,United Kingdom,9.17,8.0
1857,London,United Kingdom,10.21,7.76
1858,London,United Kingdom,9.2,8.1
1859,London,United Kingdom,9.97,8.25
1860,London,United Kingdom,8.17,7.96
1861,London,United Kingdom,9.42,7.85
1862,London,United Kingdom,9.56,7.56
1863,London,United Kingdom,9.9,8.11
1864,London,United Kingdom,8.74,7.98
1865,London,United Kingdom,9.82,8.18
1866,London,United Kingdom,9.69,8.29
1867,London,United Kingdom,9.06,8.44
1868,London,United Kingdom,10.5,8.25
1869,London,United Kingdom,9.46,8.43
1870,London,United Kingdom,8.94,8.2
1871,London,United Kingdom,8.97,8.12
1872,London,United Kingdom,10.07,8.19
1873,London,United Kingdom,9.26,8.35
1874,London,United Kingdom,9.37,8.43
1875,London,United Kingdom,9.43,7.86
1876,London,United Kingdom,9.75,8.08
1877,London,United Kingdom,9.43,8.54
1878,London,United Kingdom,9.47,8.83
1879,London,United Kingdom,7.62,8.17
1880,London,United Kingdom,9.35,8.12
